Extra-Fluffy Batter,#REF!,Grahj'am,#REF!,Cream,#REF!,Jam Fluffer,#REF!,15,No,No
Extra-Fluffy Batter,#REF!,Furball Jelly,#REF!,Cream,#REF!,Jam Fluffer,#REF!,15,No,Kind of
Extra-Fluffy Batter,#REF!,Ever-burning Jam,#REF!,Cream,#REF!,Burning Jam Fluffer,#REF!,15,No,No
Extra-Fluffy Batter,#REF!,Anomalous Jam,#REF!,Cream,#REF!,Perpetual Jam Fluffer,#REF!,15,No,No
Extra-Fluffy Batter,#REF!,Viscous Custard,#REF!,,,Soft Custard Fancy,#REF!,15,No,Kind of
Extra-Fluffy Batter,#REF!,Salty Custard,#REF!,,,Soft Custard Fancy,#REF!,15,No,Kind of
Extra-Fluffy Batter,#REF!,Monstrous Custard,#REF!,,,Soft Custard Fancy,#REF!,15,No,No
Extra-Fluffy Batter,#REF!,Stellar Custard,#REF!,,,Soft Custard Fancy,#REF!,16,Yes,Kind of
"Writhing, Roling Batter",#REF!,Synthetic Honey,#REF!,,,Tortured Honey Cake,#REF!,11,No,No
"Writhing, Roling Batter",#REF!,Sticky Honey,#REF!,,,"Itching, Ceeping, Honey Sponge",#REF!,10,No,No
"Writhing, Roling Batter",#REF!,Gooey Butter,#REF!,,,"Itching, Ceeping, Honey Sponge",#REF!,14,Yes,No
"Writhing, Roling Batter",#REF!,Cream,#REF!,,,Unbound Cream Horn,#REF!,11,No,No
"Writhing, Roling Batter",#REF!,Bittersweet Cocoa,#REF!,,,Volatile Chocolate Fancy,#REF!,11,No,No
"Writhing, Roling Batter",#REF!,Crunchy Caramel,#REF!,,,Caramelised Nightmare,#REF!,12,No,No
"Writhing, Roling Batter",#REF!,Crab `Apple`,#REF!,,,Cake of Sin,#REF!,10,No,No
"Writhing, Roling Batter",#REF!,Wriggling Jam,#REF!,Cream,#REF!,Cake of Sin,#REF!,15,Yes,No
"Writhing, Roling Batter",#REF!,Cactus Nectar,#REF!,,,Fluffy Throatripper,#REF!,11,No,No
"Writhing, Roling Batter",#REF!,Cactus Jelly,#REF!,Cream,#REF!,Fluffy Throatripper,#REF!,16,Yes,No
"Writhing, Roling Batter",#REF!,Grahj'am,#REF!,Cream,#REF!,Writhing Jam Puff,#REF!,15,No,No
"Writhing, Roling Batter",#REF!,Furball Jelly,#REF!,Cream,#REF!,Writhing Jam Puff,#REF!,15,No,No
"Writhing, Roling Batter",#REF!,Ever-burning Jam,#REF!,Cream,#REF!,Burning Jam Surprise,#REF!,15,No,No
"Writhing, Roling Batter",#REF!,Anomalous Jam,#REF!,Cream,#REF!,Unbound Monstrosity,#REF!,15,No,No
"Writhing, Roling Batter",#REF!,Viscous Custard,#REF!,,,Cake of the Lost,#REF!,15,No,No
"Writhing, Roling Batter",#REF!,Salty Custard,#REF!,,,Cake of the Lost,#REF!,15,No,No
"Writhing, Roling Batter",#REF!,Monstrous Custard,#REF!,,,Cake of the Lost,#REF!,15,No,No
"Writhing, Roling Batter",#REF!,Stellar Custard,#REF!,,,Cake of the Lost,#REF!,16,Yes,No
"Thick, Sweet Batter",#REF!,Monstrous Custard,#REF!,,,Gooey Screamer,#REF!,16,Yes,No
Wailing Batter,#REF!,Sticky Honey,#REF!,,,Gooey Screamer,#REF!,11,No,No
Wailing Batter,#REF!,Gooey Butter,#REF!,,,Gooey Screamer,#REF!,15,Yes,No
Wailing Batter,#REF!,Synthetic Honey,#REF!,,,Monstrous Honey Cake,#REF!,12,No,No
Proto-Batter,#REF!,Synthetic Honey,#REF!,,,Honied Proto-Cake,#REF!,13,No,Kind of
WIld Yeast,#REF!,,,,,WIld Yeast,#REF!,3,Yes,Yes
